4/24/2023 5:33:33	Lindsay	"Wordle 674 4/6*

⬜⬜⬜⬜⬜
⬜🟩⬜⬜🟨
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩"	Right, pinto	
4/24/2023 6:03:02	Jeran	"Wordle 674 4/6*

⬛⬛⬛⬛⬛
⬛🟨🟨⬛⬛
⬛🟩⬛🟨🟨
🟩🟩🟩🟩🟩"	Atone, pivot	
4/24/2023 6:20:06	Fred	"Wordle 674 4/6*

⬜⬜⬜⬜⬜
🟨⬜⬜🟩⬜
⬜⬜🟨🟩⬜
🟩🟩🟩🟩🟩"	Irate, smith	
4/24/2023 7:17:20	Neela	"Wordle 674 6/6*

⬜⬜⬜⬜⬜
⬜🟨⬜⬜⬜
🟨⬜🟨⬜⬜
⬜⬜🟨🟨🟨
⬜🟩🟨🟨⬜
🟩🟩🟩🟩🟩"	Horse, avoid, onion, widow	
4/24/2023 7:28:40	Mandy	"Wordle 674 4/6*

⬜⬜⬜⬜⬜
⬜⬜⬜⬜⬜
🟨🟨⬜🟨🟨
🟩🟩🟩🟩🟩"	Frame, idiot	
4/24/2023 8:28:05	Becky	"Wordle 674 4/6*

⬛⬛⬛⬛⬛
🟨⬛⬛🟩⬛
⬛🟨⬛🟩⬛
🟩🟩🟩🟩🟩"	Orate, month	
4/24/2023 9:09:15	Dan	"Wordle 674 5/6*

⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛
🟨🟨⬛🟨⬛
⬛🟩⬛🟨🟨
🟩🟩🟩🟩🟩"	Smear, toxin, bigot	So hard if you avoided the D
4/24/2023 10:59:04	Nancy	"Wordle 674 4/6*

⬜⬜⬜⬜⬜
⬜🟨⬜🟨⬜
⬜🟨🟨⬜🟨
🟩🟩🟩🟩🟩"	Stair, point	
4/24/2023 11:42:20	Sharon	"Wordle 674 4/6*

⬛⬛⬛⬛⬛
⬛⬛🟨⬛⬛
🟨🟨⬛🟨🟨
🟩🟩🟩🟩🟩"	Arise idiot	That was a fun one
