5/16/2023 5:32:18	Lindsay	"Wordle 696 4/6*

⬜🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩"	Large, Lapse	
5/16/2023 7:09:30	Jeran	"Wordle 696 6/6*

⬛🟩⬛⬛🟩
⬛🟩⬛⬛🟩
⬛🟩⬛⬛🟩
⬛🟩⬛⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"	Waive, fares, badge, matte	Wow that was bad.
5/16/2023 7:15:33	Becky	"Wordle 696 3/6*

⬛🟩⬛⬛🟩
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩"	Bathe	Dumb word
5/16/2023 7:20:17	Mandy	"Wordle 696 X/6*

⬜🟩⬜⬜🟩
⬜🟩⬜⬜🟩
⬜🟩🟨⬜🟩
🟩🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩⬜🟩"	Maybe, salve, ladle, large	Didn’t get it! Dumb word
5/16/2023 7:42:11	Fred	"Wordle 696 3/6*

⬜🟩⬜⬜🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩"	Paste	
5/16/2023 7:58:19	Dan	"Wordle 696 3/6*

⬛🟩⬛⬛🟩
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩"	Lathe	Watch out podium. Incoming. 
5/16/2023 7:58:52	Nancy	"Wordle 696 5/6*

⬜🟩⬜⬜🟩
⬜🟩🟨⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩"	False, large, lathe	
5/16/2023 10:04:06	Sharon	"Wordle 696 5/6*

⬛🟩⬛⬛🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
🟨🟩⬛🟩🟩
🟩🟩🟩🟩🟩"	Baste haute tarte	
5/16/2023 18:59:38	Neela	"Wordle 696 6/6*

⬜🟩⬜⬜🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
🟨🟩⬜🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩"	Baste, haute, tarte, matte	Phew!
