6/12/2023 5:41:52	Lindsay	"Wordle 723 4/6*

⬜⬜⬜⬜⬜
🟨🟩⬜⬜⬜
⬜🟩🟩🟨🟨
🟩🟩🟩🟩🟩"	Orate, Brown	
6/12/2023 7:28:20	Fred	"Wordle 723 5/6*

⬜⬜⬜⬜⬜
🟨🟩⬜⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩"	Orate, frock, prong	
6/12/2023 7:32:11	Dan	"Wordle 723 5/6*

⬛⬛⬛⬛⬛
⬛🟩⬛⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩🟨⬛
🟩🟩🟩🟩🟩"	Cream, broth, prowl	
6/12/2023 8:03:21	Mandy	"Wordle 723 6/6*

⬜⬜⬜⬜⬜
🟨🟩⬜⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩"	Orate, frock, broom, prong	
6/12/2023 8:14:04	Neela	"Wordle 723 5/6*

⬜⬜⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩🟩⬜⬜
🟨🟩🟩🟨⬜
🟩🟩🟩🟩🟩"	Brave, frock, growl	
6/12/2023 9:18:45	Sharon	"Wordle 723 4/6*

⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛
⬛🟨🟨🟩⬛
🟩🟩🟩🟩🟩"	Least corny	
6/12/2023 10:47:05	Nancy	"Wordle 723 4/6*

⬜⬜⬜⬜⬜
🟨⬜⬜⬜🟨
🟨🟨🟨⬜⬜
🟩🟩🟩🟩🟩"	Ocean, north	
6/12/2023 14:50:32	Jeran	"Wordle 723 4/6*

⬛⬛⬛⬛⬛
⬛⬛🟨⬛⬛
⬛🟩🟩🟩⬛
🟩🟩🟩🟩🟩"	Early, front	
